DATE,DRSFRMACBS
1991-01-01,3.09
1991-04-01,3.18
1991-07-01,3.22
1991-10-01,3.28
1992-01-01,3.12
1992-04-01,3.06
1992-07-01,2.88
1992-10-01,2.79
1993-01-01,2.78
1993-04-01,2.67
1993-07-01,2.59
1993-10-01,2.44
1994-01-01,2.39
1994-04-01,2.26
1994-07-01,2.16
1994-10-01,2.06
1995-01-01,2.08
1995-04-01,2.11
1995-07-01,2.16
1995-10-01,2.17
1996-01-01,2.18
1996-04-01,2.26
1996-07-01,2.24
1996-10-01,2.34
1997-01-01,2.3
1997-04-01,2.28
1997-07-01,2.26
1997-10-01,2.2
1998-01-01,2.2
1998-04-01,2.12
1998-07-01,2.09
1998-10-01,2.03
1999-01-01,1.94
1999-04-01,1.88
1999-07-01,2.15
1999-10-01,1.99
2000-01-01,1.95
2000-04-01,1.98
2000-07-01,2.09
2000-10-01,2.23
2001-01-01,2.34
2001-04-01,2.41
2001-07-01,2.19
2001-10-01,2.26
2002-01-01,2.24
2002-04-01,2.16
2002-07-01,2.1
2002-10-01,2.0
2003-01-01,1.97
2003-04-01,1.83
