DATE,EFFR
2000-07-03,7.03
2000-07-04,.
2000-07-05,6.52
2000-07-06,6.51
2000-07-07,6.42
2000-07-10,6.51
2000-07-11,6.39
2000-07-12,6.38
2000-07-13,6.50
2000-07-14,6.51
2000-07-17,6.58
2000-07-18,6.47
2000-07-19,6.45
2000-07-20,6.52
2000-07-21,6.51
2000-07-24,6.52
2000-07-25,6.46
2000-07-26,6.49
2000-07-27,6.52
2000-07-28,6.44
2000-07-31,6.64
2000-08-01,6.51
2000-08-02,6.42
2000-08-03,6.45
2000-08-04,6.44
2000-08-07,6.46
2000-08-08,6.44
2000-08-09,6.48
2000-08-10,6.52
2000-08-11,6.50
2000-08-14,6.58
2000-08-15,6.63
2000-08-16,6.48
2000-08-17,6.47
2000-08-18,6.44
2000-08-21,6.48
2000-08-22,6.42
2000-08-23,6.50
2000-08-24,6.56
2000-08-25,6.54
2000-08-28,6.57
2000-08-29,6.51
2000-08-30,6.51
2000-08-31,6.65
2000-09-01,6.52
2000-09-04,.
2000-09-05,6.61
2000-09-06,6.56
2000-09-07,6.53
2000-09-08,6.50
