DATE,FYFSD
1901-06-30,63.0
1902-06-30,77.0
1903-06-30,45.0
1904-06-30,-43.0
1905-06-30,-23.0
1906-06-30,25.0
1907-06-30,87.0
1908-06-30,-57.0
1909-06-30,-89.0
1910-06-30,-18.0
1911-06-30,11.0
1912-06-30,3.0
1913-06-30,0.0
1914-06-30,0.0
1915-06-30,-63.0
1916-06-30,48.0
1917-06-30,-853.0
1918-06-30,-9032.0
1919-06-30,-13363.0
1920-06-30,291.0
1921-06-30,509.0
1922-06-30,736.0
1923-06-30,713.0
1924-06-30,963.0
1925-06-30,717.0
1926-06-30,865.0
1927-06-30,1155.0
1928-06-30,939.0
1929-06-30,734.0
1930-06-30,738.0
1931-06-30,-462.0
1932-06-30,-2735.0
1933-06-30,-2602.0
1934-06-30,-3586.0
1935-06-30,-2803.0
1936-06-30,-4304.0
1937-06-30,-2193.0
1938-06-30,-89.0
1939-06-30,-2846.0
1940-06-30,-2920.0
1941-06-30,-4941.0
1942-06-30,-20503.0
1943-06-30,-54554.0
1944-06-30,-47557.0
1945-06-30,-47553.0
1946-06-30,-15936.0
1947-06-30,4018.0
1948-06-30,11796.0
1949-06-30,580.0
1950-06-30,-3119.0
