DATE,GS10
1953-04-01,2.83
1953-05-01,3.05
1953-06-01,3.11
1953-07-01,2.93
1953-08-01,2.95
1953-09-01,2.87
1953-10-01,2.66
1953-11-01,2.68
1953-12-01,2.59
1954-01-01,2.48
1954-02-01,2.47
1954-03-01,2.37
1954-04-01,2.29
1954-05-01,2.37
1954-06-01,2.38
1954-07-01,2.3
1954-08-01,2.36
1954-09-01,2.38
1954-10-01,2.43
1954-11-01,2.48
1954-12-01,2.51
1955-01-01,2.61
1955-02-01,2.65
1955-03-01,2.68
1955-04-01,2.75
1955-05-01,2.76
1955-06-01,2.78
1955-07-01,2.9
1955-08-01,2.97
1955-09-01,2.97
1955-10-01,2.88
1955-11-01,2.89
1955-12-01,2.96
1956-01-01,2.9
1956-02-01,2.84
1956-03-01,2.96
1956-04-01,3.18
1956-05-01,3.07
1956-06-01,3.0
1956-07-01,3.11
1956-08-01,3.33
1956-09-01,3.38
1956-10-01,3.34
1956-11-01,3.49
1956-12-01,3.59
1957-01-01,3.46
1957-02-01,3.34
1957-03-01,3.41
1957-04-01,3.48
1957-05-01,3.6
