DATE,HSN1F
1963-01-01,591.0
1963-02-01,464.0
1963-03-01,461.0
1963-04-01,605.0
1963-05-01,586.0
1963-06-01,526.0
1963-07-01,665.0
1963-08-01,570.0
1963-09-01,590.0
1963-10-01,567.0
1963-11-01,579.0
1963-12-01,514.0
1964-01-01,549.0
1964-02-01,609.0
1964-03-01,562.0
1964-04-01,559.0
1964-05-01,523.0
1964-06-01,580.0
1964-07-01,575.0
1964-08-01,582.0
1964-09-01,590.0
1964-10-01,583.0
1964-11-01,548.0
1964-12-01,540.0
1965-01-01,533.0
1965-02-01,559.0
1965-03-01,556.0
1965-04-01,555.0
1965-05-01,544.0
1965-06-01,614.0
1965-07-01,554.0
1965-08-01,615.0
1965-09-01,587.0
1965-10-01,555.0
1965-11-01,616.0
1965-12-01,609.0
1966-01-01,599.0
1966-02-01,541.0
1966-03-01,557.0
1966-04-01,545.0
1966-05-01,499.0
1966-06-01,434.0
1966-07-01,435.0
1966-08-01,377.0
1966-09-01,358.0
1966-10-01,387.0
1966-11-01,382.0
1966-12-01,369.0
1967-01-01,416.0
1967-02-01,408.0
