DATE,ICSA
1967-01-07,208000
1967-01-14,207000
1967-01-21,217000
1967-01-28,204000
1967-02-04,216000
1967-02-11,229000
1967-02-18,229000
1967-02-25,242000
1967-03-04,310000
1967-03-11,241000
1967-03-18,245000
1967-03-25,247000
1967-04-01,259000
1967-04-08,257000
1967-04-15,299000
1967-04-22,245000
1967-04-29,255000
1967-05-06,254000
1967-05-13,231000
1967-05-20,230000
1967-05-27,228000
1967-06-03,248000
1967-06-10,238000
1967-06-17,224000
1967-06-24,218000
1967-07-01,209000
1967-07-08,240000
1967-07-15,241000
1967-07-22,240000
1967-07-29,209000
1967-08-05,221000
1967-08-12,202000
1967-08-19,215000
1967-08-26,213000
1967-09-02,218000
1967-09-09,231000
1967-09-16,220000
1967-09-23,209000
1967-09-30,204000
1967-10-07,231000
1967-10-14,206000
1967-10-21,223000
1967-10-28,207000
1967-11-04,222000
1967-11-11,214000
1967-11-18,198000
1967-11-25,191000
1967-12-02,196000
1967-12-09,221000
1967-12-16,204000
