DATE,JTSJOL
2000-12-01,5088
2001-01-01,5234
2001-02-01,5097
2001-03-01,4762
2001-04-01,4615
2001-05-01,4425
2001-06-01,4361
2001-07-01,4447
2001-08-01,4024
2001-09-01,4071
2001-10-01,3707
2001-11-01,3775
2001-12-01,3677
2002-01-01,3699
2002-02-01,3436
2002-03-01,3612
2002-04-01,3471
2002-05-01,3457
2002-06-01,3412
2002-07-01,3367
2002-08-01,3517
2002-09-01,3301
2002-10-01,3479
2002-11-01,3514
2002-12-01,3169
2003-01-01,3441
2003-02-01,3229
2003-03-01,3099
2003-04-01,3108
2003-05-01,3289
2003-06-01,3390
2003-07-01,2981
2003-08-01,3190
2003-09-01,3091
2003-10-01,3305
2003-11-01,3324
2003-12-01,3414
2004-01-01,3424
2004-02-01,3532
2004-03-01,3525
2004-04-01,3511
2004-05-01,3710
2004-06-01,3337
2004-07-01,3814
2004-08-01,3541
2004-09-01,3821
2004-10-01,3943
2004-11-01,3472
2004-12-01,4074
2005-01-01,3804
