DATE,LNS13023621
1967-01-01,1205
1967-02-01,1187
1967-03-01,1170
1967-04-01,1258
1967-05-01,1209
1967-06-01,1323
1967-07-01,1228
1967-08-01,1204
1967-09-01,1248
1967-10-01,1275
1967-11-01,1265
1967-12-01,1227
1968-01-01,1238
1968-02-01,1184
1968-03-01,1143
1968-04-01,1042
1968-05-01,1039
1968-06-01,967
1968-07-01,1055
1968-08-01,1064
1968-09-01,1033
1968-10-01,1010
1968-11-01,995
1968-12-01,923
1969-01-01,979
1969-02-01,974
1969-03-01,999
1969-04-01,1044
1969-05-01,995
1969-06-01,993
1969-07-01,1015
1969-08-01,977
1969-09-01,1005
1969-10-01,1042
1969-11-01,1048
1969-12-01,1131
1970-01-01,1245
1970-02-01,1403
1970-03-01,1511
1970-04-01,1602
1970-05-01,1829
1970-06-01,1805
1970-07-01,1859
1970-08-01,1944
1970-09-01,2078
1970-10-01,2233
1970-11-01,2341
1970-12-01,2396
1971-01-01,2331
1971-02-01,2333
