DATE,MORTGAGE15US
1991-08-30,8.77
1991-09-06,8.79
1991-09-13,8.68
1991-09-20,8.62
1991-09-27,8.59
1991-10-04,8.51
1991-10-11,8.46
1991-10-18,8.45
1991-10-25,8.51
1991-11-01,8.41
1991-11-08,8.36
1991-11-15,8.32
1991-11-22,8.25
1991-11-29,8.29
1991-12-06,8.21
1991-12-13,8.1
1991-12-20,8.07
1991-12-27,7.9
1992-01-03,7.79
1992-01-10,7.79
1992-01-17,8.03
1992-01-24,8.14
1992-01-31,8.28
1992-02-07,8.3
1992-02-14,8.36
1992-02-21,8.43
1992-02-28,8.44
1992-03-06,8.48
1992-03-13,8.51
1992-03-20,8.69
1992-03-27,8.63
1992-04-03,8.57
1992-04-10,8.44
1992-04-17,8.38
1992-04-24,8.49
1992-05-01,8.46
1992-05-08,8.38
1992-05-15,8.26
1992-05-22,8.16
1992-05-29,8.21
1992-06-05,8.18
1992-06-12,8.12
1992-06-19,8.03
1992-06-26,7.98
1992-07-03,7.84
1992-07-10,7.67
1992-07-17,7.63
1992-07-24,7.61
1992-07-31,7.6
1992-08-07,7.59
