DATE,NONREVSL
1943-01-01,6.57783
1943-02-01,6.46304
1943-03-01,6.23421
1943-04-01,6.12575
1943-05-01,5.93626
1943-06-01,5.82223
1943-07-01,5.71837
1943-08-01,5.63875
1943-09-01,5.64759
1943-10-01,5.65074
1943-11-01,5.57687
1943-12-01,5.46252
1944-01-01,5.39857
1944-02-01,5.35436
1944-03-01,5.37036
1944-04-01,5.37918
1944-05-01,5.4305
1944-06-01,5.46779
1944-07-01,5.4982
1944-08-01,5.53396
1944-09-01,5.54923
1944-10-01,5.56593
1944-11-01,5.5701
1944-12-01,5.58569
1945-01-01,5.60273
1945-02-01,5.57381
1945-03-01,5.66769
1945-04-01,5.58245
1945-05-01,5.60525
1945-06-01,5.70445
1945-07-01,5.74878
1945-08-01,5.76701
1945-09-01,5.75827
1945-10-01,5.93202
1945-11-01,6.09555
1945-12-01,6.56705
1946-01-01,6.50451
1946-02-01,6.76595
1946-03-01,7.00545
1946-04-01,7.33322
1946-05-01,7.53237
1946-06-01,7.70221
1946-07-01,7.93364
1946-08-01,8.34516
1946-09-01,8.5996
1946-10-01,8.89514
1946-11-01,9.21828
1946-12-01,9.44439
1947-01-01,9.7702
1947-02-01,10.089
