DATE,PAYEMS
1939-01-01,29923
1939-02-01,30100
1939-03-01,30280
1939-04-01,30094
1939-05-01,30299
1939-06-01,30502
1939-07-01,30419
1939-08-01,30663
1939-09-01,31031
1939-10-01,31411
1939-11-01,31470
1939-12-01,31542
1940-01-01,31603
1940-02-01,31715
1940-03-01,31825
1940-04-01,31701
1940-05-01,31879
1940-06-01,31977
1940-07-01,31942
1940-08-01,32352
1940-09-01,32810
1940-10-01,33267
1940-11-01,33669
1940-12-01,34174
1941-01-01,34481
1941-02-01,34843
1941-03-01,35092
1941-04-01,35468
1941-05-01,36182
1941-06-01,36650
1941-07-01,37137
1941-08-01,37544
1941-09-01,37835
1941-10-01,37949
1941-11-01,38024
1941-12-01,38104
1942-01-01,38347
1942-02-01,38512
1942-03-01,38935
1942-04-01,39352
1942-05-01,39771
1942-06-01,40029
1942-07-01,40472
1942-08-01,40988
1942-09-01,41259
1942-10-01,41515
1942-11-01,41674
1942-12-01,41915
1943-01-01,42172
1943-02-01,42393
