DATE,REVOLSL
1968-01-01,1.31677
1968-02-01,1.35878
1968-03-01,1.41275
1968-04-01,1.47766
1968-05-01,1.53842
1968-06-01,1.61448
1968-07-01,1.68567
1968-08-01,1.76911
1968-09-01,1.83973
1968-10-01,1.95513
1968-11-01,1.99721
1968-12-01,2.04154
1969-01-01,2.13751
1969-02-01,2.21634
1969-03-01,2.3077
1969-04-01,2.43857
1969-05-01,2.59369
1969-06-01,2.72796
1969-07-01,2.86367
1969-08-01,2.9972
1969-09-01,3.15896
1969-10-01,3.32694
1969-11-01,3.46395
1969-12-01,3.60484
1970-01-01,3.69321
1970-02-01,3.80258
1970-03-01,3.90814
1970-04-01,4.03354
1970-05-01,4.1379
1970-06-01,4.28008
1970-07-01,4.42289
1970-08-01,4.54239
1970-09-01,4.68666
1970-10-01,4.83592
1970-11-01,4.91497
1970-12-01,4.96146
1971-01-01,7.16898
1971-02-01,7.23287
1971-03-01,7.29756
1971-04-01,7.45991
1971-05-01,7.64201
1971-06-01,7.73985
1971-07-01,7.90086
1971-08-01,8.04478
1971-09-01,8.23075
1971-10-01,8.31358
1971-11-01,8.30586
1971-12-01,8.24533
1972-01-01,8.09201
1972-02-01,8.09382
